title,author,isbn,call_number,call_prefix,subjects,summary,series,reading_level
Alice through the looking-glass,"Carroll, Lewis 1832-1898",0763628921,F Car,FIC,Alice (Fictitious character : Carroll) -- Fiction,"In this sequel to ""Alice in Wonderland"" Alice goes through the mirror to find a strange world where curious adventures await her.",,4.4
Bloodline,"Cary, Kate",1595140123,F Car,FIC,"Vampires -- Fiction. | World War, 1914-1918 -- Fiction. | War stories | Diaries -- Fiction. | Horror fiction",Nineteen-year-old John Shaw returns from World War One and is haunted by nightmares of not only the battles but the horrifying discovery that his regimental commander is descended from Count Dracula.,,Young Adult
Boy girl boy,"Koertge, Ronald",0152053255,F,FIC,Friendship -- Fiction. | Self-perception -- Fiction. | Homosexuality -- Fiction.,"Three troubled high school seniors, who plan to run away together from Illinois to California after graduation, try to figure out who they are and who they want to be.",,680
Dragonsblood,"McCaffrey, Todd 1956-",0345441249,F McC,FIC,Pern (Imaginary place) -- Fiction | Life on other planets -- Fiction. | Dragons -- Fiction.,"Lorana, a young dragonrider with a gift for healing and telepathy, rushes to find a cure when a mysterious fatal illness infects the dragons just when a deadly cycle of Threadfall is due, and realizes the answer lies with Wind Blossom, a geneticist whose mother created the dragons hundreds of years earlier.",,Young Adult
Elsewhere,"Zevin, Gabrielle",0374320918,F Zev,FIC,Future life -- Fiction. | Death -- Fiction.,"After fifteen-year-old Liz Hall is hit by a taxi and killed, she finds herself in a place that is both like and unlike Earth, where she must adjust to her new status and figure out how to ""live.""",,720
The fashion disaster that changed my life,"Myracle, Lauren 1969-",0525472223,F Myr,FIC,School attendance -- Fiction. | School stories | Friendship -- Fiction. | Family life -- Fiction.,"Seventh-grader Alli describes in her journal the ups and downs of being in junior high, where she fits in, and what it means to be a real friend.",,5.2
In the paint,"Rud, Jeff 1960-",1551433370,F Rud,FIC,Basketball -- Fiction | School sports -- Fiction.,Twelve-year-old Matt Hill struggles to make the basketball team in his new school while keeping out of trouble.,South side sports,940
Something girl,"Goobie, Beth 1959-",1551433478,F Goo,FIC,Fear -- Fiction. | Child abuse -- Fiction. | Father-child relationship -- Fiction.,"Sophie lives in constant fear of her father, who beats her on a regular basis, until the day the beating is so severe it sends her to the hospital.",Orca soundings,3.3
Undine,"Russon, Penni",0060793902,F Rus,FIC,Magic -- Fiction. | Father-daughter relationship -- Fiction. | Sea stories | Conduct of life -- Fiction | Interpersonal relations -- Fiction.,"Sixteen-year-old Undine, hearing her presumably deceased father calling to her and feeling a strange force growing inside her, travels to the sea to discover the depths of her magical powers.",,Young Adult
Heat,"Lupica, Mike",0399243011,F Lup,FIC,Brothers -- Fiction. | Orphans -- Fiction. | Illegal aliens -- Fiction. | Latin Americans -- Fiction | Little League baseball -- Fiction. | Baseball -- Fiction | Social work -- Fiction.,Pitching prodigy Michael Arroyo is on the run from social services after being banned from playing Little League baseball because rival coaches doubt he is only twelve years old and he has no parents to offer them proof.,,6.9
Pride and prejudice,"Austen, Jane 1775-1817",0553210181,F Aus,FIC,Family -- Fiction -- England | Family -- Fiction. | Courtship -- Fiction. -- England | Young women -- Fiction. -- England,"In early nineteenth-century England, a spirited young woman copes with the courtship of a snobbish gentleman as well as the romantic entanglements of her four sisters.",Everyman's library,Young Adult
In the hand of the goddess,"Pierce, Tamora",0689878567,F Pie,FIC,Alanna (Fictional character : Pierce) -- Fiction. | Knights and knighthood -- Fiction. | Gender role -- Fiction. | Fantasy fiction,"Pursuing her desire to be a knight, Alanna learns many things in her role as squire to Prince Jonathan, but fears Duke Roger, an ambitious sorcerer with whom she knows she will one day have to deal.",Song of the lioness,750
The woman who rides like a man,"Pierce, Tamora",0689878583 (Pulse),F Pie,FIC,Knights and knighthood -- Fiction. | Gender role -- Fiction. | Fantasy fiction | Middle Ages -- Fiction. | Alanna (Fictional character : Pierce) -- Fiction.,"On her first tour as a knight errant, Alanna assumes a position of influence with a fierce desert tribe, makes some changes in the role of women in the society, and continues her own emotional development.",Song of the lioness series,790
The homework machine,"Gutman, Dan",0689876785,F Gut,FIC,Homework -- Fiction. | Cheating (Education) -- Fiction. | School stories | Interpersonal relations -- Fiction.,"Four fifth-grade students -- a geek, a class clown, a teacher's pet, and a slacker -- as well as their teacher and mothers, each relate events surrounding a computer programmed to complete homework assignments.",,4.8
Estrella's quinceañera,"Alegría, Malín",0689878095,F Ale,FIC,Manners and customs -- Fiction. | Mexican Americans -- Fiction. | Mexican Americans -- Fiction. -- Social life and customs | Parties -- Fiction. | Mother-daughter relationship -- Fiction. | Friendship -- Fiction.,"Estrella's mother and aunt are planning a gaudy, traditional quinceañera for her, even though it is the last thing she wants.",,690
"Regarding the sink  where, oh where, did Waters go?","Klise, Kate",0152055444,F Kli,FIC,Missing children -- Fiction. | School stories | Letters -- Fiction.,"A series of letters reveals the selection of the famous fountain designer, Florence Waters, to design a new sink for the Geyser Creek Middle School cafeteria, her subsequent disappearance, and the efforts of a class of sixth-graders to find her.",Regarding the--,950
Blue noon,"Westerfeld, Scott",0060519584 (lib. bdg.),F Wes,FIC,Space and time -- Fiction. | Science fiction | Horror fiction,"The five Midnighters from Bixby discover that the secret hour is starting to invade the daylight world, and if they cannot stop it, the darklings will soon be free to hunt again.",Midnighters,Young Adult
The book thief,"Zusak, Markus",0375931007,F Zus,FIC,"Books and reading -- Fiction. | Storytelling -- Fiction. | Death -- Fiction. | Jews -- Fiction. -- History -- Germany | World War, 1939-1945 -- Fiction. -- Jews -- Rescue | Historical fiction","Trying to make sense of the horrors of World War II, Death relates the story of Liesel -- a young German girl whose book-stealing and story-telling talents help sustain her family and the Jewish man they are hiding, as well as their neighbors.",,Young Adult
La línea,"Jaramillo, Ann",1596431547,F Jar,FIC,"Siblings -- Fiction. | Immigration and emigration -- Fiction. | Survival after airplane accidents, shipwrecks, etc. -- Fiction. | Mexicans -- Fiction.","When fifteen-year-old Miguel's time finally comes to leave his poor Mexican village, cross the border illegally, and join his parents in California, his younger sister's determination to join him soon imperils them both.",,Young Adult
Touching darkness,"Westerfeld, Scott",0060519568,F Wes,FIC,Horror fiction,"Jessica Day, and her four friends, the ""midnighters"", are the only ones in Bixby, Oklahoma that know the world freezes at midnight, and as they battle evil creatures living in the hour hidden they learn about Bixby's shadowy past and uncover a deadly conspiracy that reaches beyond the secret hour.",Midnighters,800
The case of the missing marquess  an Enola Holmes mystery,"Springer, Nancy",0399243046,F Spr,FIC,Mothers -- Fiction. | Missing children -- Fiction. | Mystery fiction | Historical fiction,"Enola Holmes, much younger sister of detective Sherlock Holmes, must travel to London in disguise to unravel the disappearance of her missing mother.",,6.6
"My last skirt  the story of Jennie Hodgers, Union soldier","Durrant, Lynda 1956-",0618574905,F Dur,FIC,Gender role -- Fiction. | Soldiers -- Fiction. | Irish Americans -- Fiction | Historical fiction,"Enjoying the freedom afforded her while dressing as a boy in order to earn higher pay after emigrating from Ireland, Jennie Hodgers serves in the 95th Illinois Infantry as Private Albert Cashier, a Union soldier in the American Civil War.",,5.3
Miracles on Maple Hill,"Sorensen, Virginia 1912-1991",0152047182,F Sor,FIC,Moving -- Fiction | Family -- Fiction. | Country life -- Fiction. -- Pennsylvania | Country life -- Fiction.,"After her father returns from the war moody and tired, Marly's family decides to move from the city to Maple Hill Farm in the Pennsylvania countryside where they share many adventures which help restore their spirits and their bond with each other.",,750
"It's like this, Cat","Neville, Emily Cheney",0064400735 (HT),F Nev,FIC,Family life -- Fiction. | Humorous fiction,"A quietly humorous story of one kind of contemporary New York City boyhood, a fourteen-year-old and his family, his friends, and a stray tomcat.",,810
My friend Flicka,"O'Hara, Mary",0060512628,F O'Ha,FIC,Animals -- Fiction | Father-son relationship -- Fiction. | Ranch life -- Fiction. | Horses -- Fiction. | Boys -- Fiction. | Domestic fiction | Bildungsromans | Father-son relationship -- Fiction. | Ranch life -- Fiction. -- Wyoming,An aimless Wyoming teenager at odds with his practical father finds purpose when he befriends a wild filly.,,6.8
Ironman,"Crutcher, Chris",068813503X,F Cru,FIC,Interpersonal relations -- Fiction. | Father-son relationship -- Fiction. | Father-son relationship -- Fiction. | Triathlon -- Fiction.,"While training for a triathlon, seventeen-year-old Bo attends an anger management group at school which leads him to examine his relationship with his father.",,6.8
Peter & the shadow thieves,"Barry, Dave",9780786837878,F Bar,FIC,Adventure fiction | Humorous fiction | Shades and shadows -- Fiction. | Characters and characteristics in literature -- Fiction.,"Peter must visit London to help his friend Molly and her family of starcatchers locate the missing starstuff, leaving the boys on Mollusk Island at the mercy of Hook.",,780
Crispin  at the edge of the world,Avi 1937-,078685152X,F Avi,FIC,Middle Ages -- Fiction. | Voyages and travels -- Fiction. | Family life -- Fiction. | Historical fiction,"Branded as traitors by the king's authorities, Crispin and his guardian, Bear, flee to coastal towns in fourteenth-century England, where they perform a musical juggling act and bond as a family after befriending a disfigured girl.",,5.4
Fly by night,"Hardinge, Frances",9780060876272 (trade bdg.),F Har,FIC,Geese -- Fiction. | Language and languages -- Fiction. | Fantasy fiction | Swindlers and swindling -- Fiction.,"Mosca Mye and her homicidal goose, Saracen, travel to the city of Mandelion on the heels of smooth-talking con-man, Eponymous Clent.",,6.7
The Ravenmaster's secret  escape from the Tower of London,"Woodruff, Elvira",0439281342,F Woo,FIC,Christianity -- Fiction. | Ravens -- Fiction. | Prisoners -- Fiction. | Historical fiction,The eleven-year-old son of the Ravenmaster at the Tower of London befriends a Jacobite rebel being held prisoner there.,,750
Space race,"Waugh, Sylvia",0440417147,F WAU,FIC,Extraterrestrial beings -- Fiction. | Father-son relationship -- Fiction. | Science fiction | Large print books,"When he learns that he and his father must soon leave Earth, eleven-year-old Thomas Derwent is upset, but a terrible accident that separates the two of them makes Thomas's situation much worse.",,700
Weedflower,"Kadohata, Cynthia",0689865740,F Kad,FIC,"Japanese Americans -- Fiction. -- Evacuation and relocation, 1942-1945 | Japanese Americans -- Fiction. | World War, 1939-1945 -- Fiction. -- United States | Mohave Indians -- Fiction. | Native Americans -- Fiction. -- Arizona | Historical fiction","After twelve-year-old Sumiko and her Japanese-American family are relocated from their flower farm in southern California to an internment camp on a Mojave Indian reservation in Arizona, she helps her family and neighbors, becomes friends with a local Indian boy, and tries to hold on to her dream of owning a flower shop.",,5.0
The clue of the linoleum lederhosen,"Anderson, M. T.",0152053522,F And,FIC,Hotels and motels -- Fiction. | Resorts -- Fiction. | Heroes and heroines -- Fiction. | Humorous fiction,"Looking forward to a vacation, Katie, Lily, and Jasper attach their flying Gyroscopic Sky Suite to the Moose Tongue Lodge and Resort, where they mingle with other child heroes found in books, and where they become embroiled in a mystery involving lederhosen-clothed quintuplets and a screaming ventriloquist.",,4.8
Gossamer,"Lowry, Lois",0618685502 (hardcover),F Low,FIC,Dreams -- Fiction. | Foster home care -- Fiction. | Child abuse -- Fiction.,"While learning to bestow dreams, a young dream giver tries to save an eight-year-old boy from the effects of both his abusive past and the nightmares inflicted on him by the frightening Sinisteeds.",,5.4
Firegirl,"Abbott, Tony",0316011711 (hardcover),F Abb,FIC,Middle school students -- Fiction. | Wounds and injuries -- Fiction. | Disfigured persons -- Fiction | Church schools -- Fiction. | School stories | Bildungsromans,"A middle school boy's life is changed when Jessica, a girl disfigured by burns, starts attending his Catholic school while receiving treatment at a local hospital.",,4.1
Half-moon investigations,"Colfer, Eoin",0786849576,F Col,FIC,Bildungsromans | Detectives -- Fiction. | Good and evil -- Fiction. | Mystery fiction,"Twelve-year-old online detective school graduate Fletcher Moon--who suffers the nickname ""Half Moon"" because of his small stature--helps solve crimes for classmates and others in his Irish town, but things start to go wrong when he is asked to find a reportedly stolen lock of a pop star's hair and ends up an arson suspect.",,4.8
Shug,"Han, Jenny",1416909427,F Han,FIC,Friendship -- Fiction. | Self-esteem -- Fiction.,"A twelve-year-old girl learns about friendship, first loves, and self-worth in a small town in the South.",,5-8
Fire star,"D'Lacey, Chris",9780439901857 (hd),F D'La,FIC,Occult fiction | Bears -- Fiction. | Dragons -- Fiction. | Authorship -- Fiction. | Hotels and motels -- Fiction.,"David Rain is faced with the most perilous task yet when Gwilanna returns, this time determined to resurrect the dragon Gawain on the ice cap of the Tooth of Ragnar, unless David and her friends can stop her.",Last dragon chronicles,4.8
Behind the curtain  an Echo Falls mystery,"Abrahams, Peter 1947-",0060737050,F Abr,FIC,Mystery fiction | Kidnapping -- Fiction.,"An avid Sherlock Holmes fan, eighth grader Ingrid Levin-Hill is kidnapped while investigating mysterious happenings in her home town.",,6.5
Between Mom and Jo,"Peters, Julie Anne",0316739065,F Pet,FIC,Mother-son relationship -- Fiction. | Lesbians -- Fiction. | Family life -- Fiction. | Prejudices -- Fiction.,"Fourteen-year-old Nick has a three-legged dog named Lucky 2, some pet fish, and two mothers, whose relationship complicates his entire life as they face prejudice, work problems, alcoholism, cancer, and finally separation.",,Young Adult
Click here  (to find out how I survived seventh grade) : a novel,"Vega, Denise",0316985597,F Veg,FIC,Friendship -- Fiction. | Interpersonal relations -- Fiction. | Weblogs -- Fiction | Computers -- Fiction. | Middle schools -- Fiction. | School stories,"Seventh-grader Erin Swift writes about her friends and classmates in her private blog, but when it accidentally gets posted on the school Intranet site, she learns some important lessons about friendship.",,690
Emergency quarterback,"Wallace, Rich",0142406155,F Wal,FIC,Football -- Fiction | School stories | High schools -- Fiction | Sports -- Fiction,"When the Hornets lose their quarterback for the season and the replacement lacks the talent to take charge, the coach picks a solid receiver as emergency quarterback.",Winning season,6.0
The great American mousical,"Edwards, Julie 1935-",0060579196,F Edw,FIC,Mice -- Fiction. | Actors -- Fiction. | Theater -- Fiction.,Presents the adventures of theatrical mice that live and work in a miniature world beneath Broadway.,Julie Andrews collection,6.5
Jumping the scratch  a novel,"Weeks, Sarah",0060541105,F Wee,FIC,Memory -- Fiction. | Aunts -- Fiction. | Child sexual abuse -- Fiction.,"After moving with his mother to a trailer park to care for an injured aunt, eleven-year-old Jamie Reardon struggles to cope with a deeply buried secret.",,920
Mismatch,"Namioka, Lensey",0385902204,F Nam,FIC,Chinese Americans -- Fiction. | Japanese Americans -- Fiction. | Family life -- Fiction. | Dating (Social customs) -- Fiction. | High schools -- Fiction | School stories,Their families clash when a Japanese-American teenaged boy starts dating a Chinese-American teenaged girl.,,6.1
Montmorency and the assassins,"Updale, Eleanor",0439683432,F Upd,FIC,Thieves -- Fiction. | Individuality -- Fiction | Historical fiction,"After twenty years as a gentleman, Montmorency is glad to be free of Scarper, his wretched alter-ego, but when a young friend is caught in the middle of a murderous political plot, Montmorency may have no choice but to call upon Scarper for help.",,7.8
Poison ivy,"Koss, Amy Goldman 1954-",1596431180,F Kos,FIC,Bullies -- Fiction. | School stories | Trials -- Fiction.,In a government class three popular girls undergo a mock trial for their ruthless bullying of a classmate.,,6.7
Rules,"Lord, Cynthia",9780439443838,F Lor,FIC,Autism -- Fiction. | Siblings -- Fiction. | Mentally handicapped -- Fiction.,"Frustrated at life with an autistic brother, twelve-year-old Catherine longs for a normal existence but her world is further complicated by a friendship with an young paraplegic.",,3.9
A summer of Kings,"Nolan, Han",0152051082,F Nol,FIC,Race relations -- Fiction. | Civil rights -- Fiction. | African Americans -- Fiction. | Black Muslims -- Fiction. | Family life -- Fiction. -- New York (State),"Over the course of the summer of 1963, fourteen-year-old Esther Young discovers the passion within her when eighteen-year-old King-Roy Johnson, accused of murdering a white man in Alabama, comes to live with her family.",,Young Adult
Troll Mill,"Langrish, Katherine",0060583088,F Lan,FIC,Folklore -- Fiction. | Infants -- Fiction. | Orphans -- Fiction. | Neighbors -- Fiction | Fantasy fiction,"When fifteen-year-old Peer Ulfsson witnesses the disappearance of his neighbor's wife, rumored to be a seal-woman, he must help protect the baby she leaves behind from trolls, a witch, and other creatures.",,6.0
My cup runneth over  the life of Angelica Cookson Potts,"Whytock, Cherry",0689865511 (pbk.),F Why,FIC,Weight loss -- Fiction. | Fashion shows -- Fiction. | Interpersonal relations -- Fiction. | School stories | Humorous fiction,"Believing she is too big, fourteen-year-old Angel tries dieting and kick-boxing to lose weight, but thanks to her friends and the school fashion show, she discovers that her size is just right.",,Young Adult
The cry of the Icemark,"Hill, Stuart",0439686261,F Hil,FIC,Princesses -- Fiction. | Good and evil -- Fiction. | Queens -- Fiction. | Fantasy fiction,"Princess Thirrin, a teenager, becomes the queen of Icemark after her father is killed and must take over the country's defense against the Polypontian Empire, relying on help from Oskan, a witch's son, in order to save her people.",,6.6
Penny from heaven,"Holm, Jennifer L.",9780440422617,F Hol,FIC,Family life -- Fiction -- New Jersey | Italian Americans -- Fiction | Secrecy -- Fiction.,"As she turns twelve during the summer of 1953, Penny gains new insights into herself and her family while also learning a secret about her father's death.",,4.0
Poison,"Wooding, Chris 1977-",0439755700,F Woo,FIC,Fairies -- Fiction. | Storytelling -- Fiction. | Fantasy fiction,"When Poison leaves her home in the marshes of Gull to retrieve the infant sister who was snatched by the fairies, she and a group of unusual friends survive encounters with the inhabitants of various Realms, and Poison herself confronts a surprising destiny.",,Young Adult
The storm thief,"Wooding, Chris 1977-",0439865131 (hd),F Woo,FIC,Golem -- Fiction. | Survival skills -- Fiction. | Islands -- Fiction. | Science fiction,"With the help of a golem, two teenaged thieves try to survive on the city island of Orokos, where unpredictable probability storms continually change both the landscape and the inhabitants.",,Young Adult
Evil star,"Horowitz, Anthony 1955-",0439679966,F Hor,FIC,Native Americans -- Fiction. -- Peru | Incas -- Fiction. | Native Americans -- Fiction. -- South America | Occult fiction,"Having locked the Raven's gate, fourteen-year-old Matt travels to Peru where he meets the second of the five gatekeepers and works with him to try to stop the opening of a second gate somehow related to the Nazca Lines.",Gatekeepers,5-8
The beasts of Clawstone Castle,"Ibbotson, Eva",0525477195 (alk. paper),F Ibb,FIC,Castles -- Fiction. | Ghost stories | Cattle -- Fiction. | Animals -- Fiction,"While spending the summer with elderly relatives at Clawstone Castle in northern England, Madlyn and her brother Rollo, with the help of several ghosts, attempt to save the rare cattle that live on the castle grounds.",,6.3
The legend of Bass Reeves  being the true and fictional account of the most valiant marshal in the West,"Paulsen, Gary",038574661X,F Pau,FIC,African Americans -- Fiction. | Slaves -- Fiction. | Police -- Fiction.,"""The story of Bass Reeves who was born a slave and later became one of the most respected federal marshals in Oklahoma and Texas.""",,5.5
Framed,"Cottrell Boyce, Frank",0060734035 (lib. bdg.),F Cot,FIC,Automobiles -- Fiction. -- Maintenance and repair | Art -- Fiction. | Business enterprises -- Fiction. | Eccentrics and eccentricities -- Fiction. | Family life -- Fiction -- Wales,"Dylan and his sisters have some ideas about how to make Snowdonia Oasis Auto Marvel into a more profitable business, but it is not until some strange men arrive in their small town of Manod, Wales with valuable paintings, and their father disappears, that they consider turning to crime.",,4.5
The sea of monsters,"Riordan, Rick",9780545003407,F Rio,FIC,Father-son relationship -- Fiction. | Gods and goddesses -- Fiction. | Zeus (Greek deity) -- Fiction. | Greek mythology -- Fiction. | Camps -- Fiction. | Friendship -- Fiction.,"When Camp Half-Blood, the only safe haven for demigods, comes close to being overrun by mythological monsters, Percy must find his best friend Grover, who is prisoner on an island in the Bermuda Triangle, and then set out to save the Camp.",Percy Jackson & the Olympians,4.9
Icefire,"D'Lacey, Chris",0439672457,F D'La,FIC,Occult fiction | Dragons -- Fiction. | Buried treasure -- Fiction. | Bears -- Fiction. | Hotels and motels -- Fiction.,"While researching the existence of dragons for an essay that could win him a trip to the Arctic, Chris opens himself to the possibility that a great, ancient treasure exists there, guarded by bears, and that he has some role in its protection.",Last dragon chronicles,4.5
Rash,"Hautman, Pete 1952-",0689868014,F Hau,FIC,Self-control -- Fiction. | Individuality -- Fiction | Football -- Fiction | Artificial intelligence -- Fiction | Science fiction,"In a future society that has decided it would ""rather be safe than free,"" sixteen-year-old Bo's anger control problems land him in a tundra jail where he survives with the help of his running skills and an artificial intelligence program named Bork.",,730
The boy in the striped pajamas  a fable,"Boyne, John 1971-",0385751079 (lib. bdg.),F Boy,FIC,"Concentration camps -- Fiction. | Friendship -- Fiction. | World War, 1939-1945 -- Fiction. -- Jews | Concentration camps -- Fiction. -- Poland | National socialism -- Fiction. | Holocaust, 1939-1945 -- Fiction.","Bored and lonely after his family moves from Berlin to a place called ""Out-With"" in 1942, Bruno, the son of a Nazi officer, befriends a boy in striped pajamas who lives behind a wire fence.",,Young Adult
The Looking Glass Wars,"Beddor, Frank",9780142409411 (Speak),F Bed,FIC,Characters and characteristics in literature -- Fiction.,"When she is cast out of Wonderland by her evil aunt Redd, young Alyss Heart finds herself living in Victorian Oxford as Alice Liddell and struggles to keep memories of her kingdom intact until she can return and claim her rightful throne.",,Young Adult
Fairest,"Levine, Gail Carson",9780060734084,F Lev,FIC,Self-acceptance -- Fiction. | Fairy tales | Personal appearance -- Fiction. | Singing -- Fiction. | Identity (Psychology) -- Fiction.,"In a land where beauty and singing are valued above all else, Aza eventually comes to reconcile her unconventional appearance and her magical voice, and learns to accept herself for who she truly is.",,3.9
Terrier,"Pierce, Tamora",9780375814686 (trade),F Pie,FIC,Magic -- Fiction. | Police -- Fiction. | Fantasy fiction,"When sixteen-year-old Beka becomes ""Puppy"" to a pair of ""Dogs,"" as the Provost's Guards are called, she uses her police training, natural abilities, and a touch of magic to help them solve the case of a murdered baby in Tortall's Lower City.",Beka Cooper,Young Adult
Caddy ever after,"McKay, Hilary",1416909303,F McK,FIC,Siblings -- Fiction. | Family -- Fiction. | Weddings -- Fiction.,"The four eccentric Casson siblings each contribute written accounts of the events--which include a Valentine's Day dance, the appearance of a sinister balloon, and the breakdown of a car--that lead to Caddy's wedding day.",,6.1
"Carry on, Mr. Bowditch","Latham, Jean Lee",0618250816,F Lat,FIC,Navigation -- Fiction. -- History | Historical fiction,"A fictionalized biography of the mathematician and astronomer who realized his childhood desire to become a ship's captain and authored ""The American Practical Navigator.""",,570
Magyk,"Sage, Angie",0060577339,F Sag,FIC,Princesses -- Fiction. | Wizards -- Fiction | Magic -- Fiction. | Fantasy fiction,"Jenna learns that she is a princess found as a baby by the man she believed was her father and now she and Septimus, who was taken at birth by the midwife, are being threatened by the evil wizard, DomDaniel who intends to finish off the entire royal line.",Septimus Heap,6.1
The neverending story,"Ende, Michael",0140386335,F End,FIC,Good and evil -- Fiction. | Fantasy fiction,"Shy, awkward Bastian is amazed to discover that he has become a character in the mysterious book he is reading and that he has an important mission to fulfill.",,930
Among the free,"Haddix, Margaret Peterson",9780689857980,F Had,FIC,Freedom -- Fiction. | Conduct of life -- Fiction | Science fiction,"When thirteen-year-old Luke Garner unwittingly sets off a rebellion which sweeps the country and ousts the Population Police from power, he quickly realizes that the new regime is corrupt and he may hold the only key to true freedom.",,5.7
School's out-- forever,"Patterson, James 1947-",0316155594,F Pat,FIC,Genetic engineering -- Fiction. | Adventure fiction | School stories | Science fiction,"After a short stay with an FBI agent who gives them a chance to attend school and live a normal life, the six genetically-altered, winged youths head toward Florida and Max's ultimate destiny--to save the world, whether she wants to or not.",Maximum ride,Young Adult
Specials,"Westerfeld, Scott",0689865406,F Wes,FIC,Personal appearance -- Fiction. | Insurgency -- Fiction. | Teenagers -- Fiction. | Science fiction,"After being captured and surgically transformed into a ""special,"" teenaged Tally Youngblood, now a government agent programmed to protect society from outside threats, is ordered to eliminate the rebel colony New Smoke, Tally's former home.",,Young Adult
"Bread and roses, too","Paterson, Katherine",0618654798 (hardcover),F Pat,FIC,"Strikes -- Fiction. | Labor unions -- Fiction. | Survival after airplane accidents, shipwrecks, etc. -- Fiction. | Textile industry -- Fiction. | Immigrants -- Fiction. | Immigration and emigration -- Fiction.","Jake and Rosa, two children, form an unlikely friendship as they try to survive and understand the 1912 Bread and Roses strike of mill workers in Lawrence, Massachusetts.",,5.3
Dairy queen  a novel,"Murdock, Catherine Gilbert",0618683070,F Mur,FIC,Football -- Fiction | Farm life -- Fiction.,"After spending her summer running the family farm and training the quarterback for her school's rival football team, sixteen-year-old D.J. decides to go out for the sport herself, not anticipating the reactions of those around her.",,990
Emma,"Austen, Jane 1775-1817",067940581X (Knopf),F Aus,FIC,Young women -- Fiction. | Love stories | Humorous fiction | Young women -- Fiction. -- England,A novel of Regency England that centers upon a self-assured young lady who is determined to arrange her life and the lives of those around her into a pattern dictated by her romantic fancy.,Everyman's library,1070
Foundling,"Cornish, D. M. (David M.) 1972-",039924638X,F Cor,FIC,Orphans -- Fiction. | Self-confidence -- Fiction. | Monsters -- Fiction. | Tattooing -- Fiction. | Fantasy fiction,"Having grown up in a home for foundlings and possessing a girl's name, Rossamünd sets out to report to his new job as a lamplighter and has several adventures along the way as he meets people and monsters who are more complicated that he previously thought. Includes glossaries and maps.",Monster blood tattoo,6.2
Horns & wrinkles,"Helgerson, Joseph",0618616799,F Hel,FIC,Magic -- Fiction. | Folklore -- Fiction. | Bullies -- Fiction.,"Along a magic-saturated stretch of the Mississippi River near Blue Wing, Minnesota, twelve-year-old Claire and her bullying cousin Duke are drawn into an adventure involving Bodacious Deepthink the Great Rock Troll, a helpful fairy, and a group of trolls searching for their fathers.",,5.5
Samurai shortstop,"Gratz, Alan 1972-",9780142410998,F Gra,FIC,Historical fiction | School stories | Private schools -- Fiction. | Baseball -- Fiction | Father-son relationship -- Fiction. | Samurai -- Fiction.,"While obtaining a Western education at a prestigious Japanese boarding school in 1890, sixteen-year-old Toyo also receives traditional samurai training which has profound effects on both his baseball game and his relationship with his father.",,Young Adult
Sand dollar summer,"Jones, Kimberly 1957-",1416903623,F Jon,FIC,Islands -- Fiction. | Family life -- Fiction. -- Maine | Passamaquoddy Indians -- Fiction. | Native Americans -- Fiction. -- Maine,"When twelve-year-old Lise spends the summer on an island in Maine with her self-reliant mother and bright -- but oddly mute -- younger brother, her formerly safe world is complicated by an aged Indian neighbor, her mother's childhood friend, and a hurricane.",,790
Under the baseball moon,"Ritter, John H. 1951-",0399236236,F Rit,FIC,Softball -- Fiction. | Trumpets -- Fiction. | Musicians -- Fiction. | Interpersonal relations -- Fiction.,"Andy and Glory, two fifteen-year-olds from Ocean Beach, California, pursue their respective dreams of becoming a famous musician and a professional softball player.",,750
Voices,"Le Guin, Ursula K. 1929-",0152056785,F Le G,FIC,Good and evil -- Fiction. | Bildungsromans | Fantasy fiction,Young Memer takes on a pivotal role in freeing her war-torn homeland from its oppressive captors.,,Young Adult
The million dollar putt,"Gutman, Dan",0786836415,F Gut,FIC,Golf -- Fiction | Contests -- Fiction. | Blind -- Fiction. | Handicapped -- Fiction. | Friendship -- Fiction. | School stories,"Assisted by his neighbor, Birdie, blind thirteen-year-old Ed ""Bogie"" Bogard will win one million dollars if he can sink a ten-foot putt in Hawaii's fifth annual Angus Killick Memorial Tournament.",,620
Curse of the bane,"Delaney, Joseph 1945-",9780060766214 (trade bdg.),F Del,FIC,Apprentices -- Fiction. | Occult fiction | Witches -- Fiction.,"Now thirteen years old, Tom Ward continues his apprenticeship with the Spook as they confront a dangerous bane who can control people's thoughts.",The last apprentice,6.1
The monstrous memoirs of a mighty McFearless,"Zappa, Ahmet",0375832874,F Zap,FIC,Monsters -- Fiction. | Siblings -- Fiction. | Adventure fiction,"With the help of Dr. Devilstone and a book called the Monstranomicon, Minerva and her brother Max go to the evil Zarmaglorg's Castle Doominstinkinfart to rescue their father, whom they have discovered comes from a long line of monsterminators.",,6.1
Vanishing act,"Feinstein, John",037583592X,F Fei,FIC,Journalists -- Fiction. | Kidnapping -- Fiction. | Tennis -- Fiction | Professional sports -- Fiction. | Mystery fiction,Eighth-grade sports reporters Susan Carol and Stevie reunite at the U.S. Open tennis championships where they investigate the mysterious disappearance of a top Russian player.,,5.3
The frog princess,"Baker, E. D.",1582349231,F Bak,FIC,Fairy tales | Princesses -- Fiction. | Princes -- Fiction. | Witches -- Fiction. | Humorous fiction | Frogs -- Fiction,"After reluctantly kissing a frog, an awkward, fourteen-year-old princess suddenly finds herself a frog, too, and sets off with the prince to seek the means--and the self-confidence--to become human again.",,710
